point_id,longitude,latitude,depth,log_clay_sand,log_silt_sand
ctb0020-Fazenda-Tres-Irmaos-SPD14-area01,-44.7719444444444,-9.31611111111111,25,-2.81839825827108,-0.837396789404492
ctb0020-Fazenda-Tres-Irmaos-SPD14-area01,-44.7719444444444,-9.31611111111111,40,-2.41293315016291,-0.908855753386637
ctb0020-Fazenda-Tres-Irmaos-SPD14-area02,-44.7717550633177,-9.31607024268727,5,-1.57818536893,-0.965080896043587
ctb0020-Fazenda-Tres-Irmaos-SPD14-area02,-44.7717550633177,-9.31607024268727,15,-1.87180217690159,-0.955511445027436
ctb0020-Fazenda-Tres-Irmaos-SPD14-area02,-44.7717550633177,-9.31607024268727,25,-2.27359755612079,-1.00063188030791
ctb0020-Fazenda-Tres-Irmaos-SPD14-area02,-44.7717550633177,-9.31607024268727,40,-3.10608033072286,-0.803495237728811
ctb0020-Fazenda-Tres-Irmaos-SPD2-area01,-44.7791666666667,-9.29055555555555,5,-2.35815494414886,-1.35962611403773
ctb0020-Fazenda-Tres-Irmaos-SPD2-area01,-44.7791666666667,-9.29055555555555,15,-2.22462355152433,-1.41369333530801
ctb0020-Fazenda-Tres-Irmaos-SPD2-area01,-44.7791666666667,-9.29055555555555,25,-2.9704144655697,-1.46633706879343
ctb0020-Fazenda-Tres-Irmaos-SPD2-area01,-44.7791666666667,-9.29055555555555,40,-2.9704144655697,-1.46633706879343
ctb0020-Fazenda-Tres-Irmaos-SPD2-area02,-44.7791623394195,-9.29052645873007,5,-3.68887945411394,-1.49165487677772
ctb0020-Fazenda-Tres-Irmaos-SPD2-area02,-44.7791623394195,-9.29052645873007,15,-2.73436750941958,-1.45343366395752
ctb0020-Fazenda-Tres-Irmaos-SPD2-area02,-44.7791623394195,-9.29052645873007,25,-3.27083556379891,-1.47907609457086
ctb0020-Fazenda-Tres-Irmaos-SPD2-area02,-44.7791623394195,-9.29052645873007,40,-3.66356164612965,-1.3609765531356
ctb0020-Fazenda-Tres-Irmaos-SPD9-area01,-44.7720147985088,-9.31620126322214,5,-1.48807705542983,-0.949080554697146
ctb0020-Fazenda-Tres-Irmaos-SPD9-area01,-44.7720147985088,-9.31620126322214,15,-1.99243016469021,-0.970778917158225
ctb0020-Fazenda-Tres-Irmaos-SPD9-area01,-44.7720147985088,-9.31620126322214,25,-2.42774823594805,-0.961411167154625
ctb0020-Fazenda-Tres-Irmaos-SPD9-area01,-44.7720147985088,-9.31620126322214,40,-2.0636931847117,-0.775838896405059
ctb0020-Fazenda-Tres-Irmaos-SPD9-area02,-44.7716967335228,-9.31617915491785,5,-1.89711998488588,-0.660357357736954
ctb0020-Fazenda-Tres-Irmaos-SPD9-area02,-44.7716967335228,-9.31617915491785,15,-2.41293315016291,-0.908855753386637
ctb0020-Fazenda-Tres-Irmaos-SPD9-area02,-44.7716967335228,-9.31617915491785,25,-2.61006979274201,-0.923670839171778
ctb0020-Fazenda-Tres-Irmaos-SPD9-area02,-44.7716967335228,-9.31617915491785,40,-2.14843441316679,-0.597837000755621
ctb0021-PONTO-1,-49.9672222222222,-28.2686111111111,9.5,1.58696505658204,1.65292302437384
ctb0021-PONTO-1,-49.9672222222222,-28.2686111111111,28,1.81237875643079,1.68175857401373
ctb0021-PONTO-2,-49.9672138888889,-28.2721416666667,5,1.22377543162212,1.7227665977411
ctb0021-PONTO-2,-49.9672138888889,-28.2721416666667,20,1.42138568093116,2.21297293430436
ctb0021-PONTO-2,-49.9672138888889,-28.2721416666667,37,1.7730673362159,1.44036158239017
ctb0021-PONTO-3,-49.9662916666667,-28.2715027777778,9.5,1.36687627526279,1.01856958099457
ctb0021-PONTO-3,-49.9662916666667,-28.2715027777778,27,1.36687627526279,1.01856958099457
ctb0021-PONTO-4,-49.9654333333333,-28.2705944444444,7.5,0.364643113587909,0.444685821261446
ctb0021-PONTO-4,-49.9654333333333,-28.2705944444444,22.5,1.25276296849537,0.559615787935423
ctb0021-PONTO-4,-49.9654333333333,-28.2705944444444,37.5,1.51982575374441,0.451985123743057
ctb0021-PONTO-5,-49.9913555555556,-28.2363361111111,10,1.82161243237774,0.646627164925052
ctb0021-PONTO-5,-49.9913555555556,-28.2363361111111,32.5,1.97408102602201,0.587786664902119
ctb0021-PONTO-6,-49.9911083333333,-28.2333555555556,5,0.693147180559945,0.693147180559945
ctb0021-PONTO-6,-49.9911083333333,-28.2333555555556,15,1.25276296849537,1.34373474670109
ctb0021-PONTO-7,-49.9892833333333,-28.2379805555556,5,2.46809953147162,1.97408102602201
ctb0021-PONTO-7,-49.9892833333333,-28.2379805555556,17,2.81839825827108,1.98100146886658
ctb0021-PONTO-7,-49.9892833333333,-28.2379805555556,33,3.13549421592915,2.23359222150709
ctb0021-PONTO-8,-49.9842777777778,-28.2282861111111,5,1.87180217690159,1.6094379124341
ctb0021-PONTO-8,-49.9842777777778,-28.2282861111111,15,2.37954613413017,2.10413415427021
ctb0021-PONTO-8,-49.9842777777778,-28.2282861111111,25,2.24374459297111,1.34992671694902
ctb0021-PONTO-8,-49.9842777777778,-28.2282861111111,37.5,2.30258509299405,1.73460105538811
ctb0022-L100,-51.04921648,-23.41574799,10,1.24319351747922,0.78845736036427
ctb0022-L101,-51.04848169,-23.36009587,10,1.96009478404727,0.641853886172395
ctb0022-L44,-51.25969247,-23.55740049,10,1.98787434815435,0.53062825106217
ctb0022-L48,-51.2910347,-23.50699639,10,1.62362254742606,0.0689928714869514
ctb0022-L49,-51.28645392,-23.49033033,10,1.91959284073794,0.241162056816888
ctb0022-L52,-51.09130249,-23.70952077,10,1.47590651980958,-0.133531392624523
ctb0022-L56,-51.0358552,-23.70269681,10,0.897941593205959,0.0870113769896297
ctb0022-L63,-50.92628586,-23.73522793,10,0.538996500732687,-0.154150679827258
ctb0022-L65,-50.99130114,-23.70108387,10,1.98787434815435,0.53062825106217
ctb0022-L71,-51.01932087,-23.53124027,10,1.86478460424294,0.492476485097794
ctb0022-L72,-51.02047579,-23.52428483,10,1.26113121816588,0.302280871872934
ctb0022-L73,-50.99415099,-23.5846614,10,1.43508452528932,0.382992252256106
ctb0022-L74,-50.98276275,-23.58441666,10,1.5114575040739,0.125163142954006
ctb0022-L75,-50.97491718,-23.5597922,10,-0.312374685042152,-0.346276236717834
ctb0022-L76,-50.97757595,-23.54027269,10,0.767255152713667,-0.367724780125317
ctb0022-L77,-51.03993361,-23.50093111,10,2.15466496291742,1.05605267424931
ctb0022-L78,-50.94803845,-23.48698079,10,-0.0281708769666963,-0.216223108469636
ctb0022-L79,-50.96150762,-23.47553099,10,0.405465108108164,0.0689928714869514
ctb0022-L80,-50.98743856,-23.47128073,10,1.46633706879343,0.287682072451781
ctb0022-L81,-50.9650338,-23.43501913,10,0.595983432106298,-0.117783035656384
ctb0022-L82,-51.30182626,-23.42850767,10,1.595049174982,0.194156014440957
ctb0022-L85,-51.27428671,-23.44116837,10,1.54044504094715,0
ctb0022-L86,-51.28445462,-23.44397746,10,1.93152141160321,0.741937344729377
ctb0022-L87,-51.24105958,-23.45184589,10,-1.34117392583942,-1.28401551199947
ctb0022-L88,-51.2405896,-23.44101618,10,2.04122032885964,0.262364264467491
ctb0022-L89,-51.23012531,-23.41337319,10,1.11696142733631,0.405465108108164
